budget,genres,id,original_language,popularity,release_date,revenue,runtime,title,vote_average,vote_count,director
180000000.0,Action Science-Fiction Adventure,68726,en,56.523205,11-07-2013,407602906.0,131.0,Pacific Rim,6.7,4794,Guillermo del Toro
195000000.0,Action Science-Fiction Adventure,38356,en,28.529607,28-06-2011,1123746996.0,154.0,Transformers: Dark of the Moon,6.1,3299,Michael Bay
185000000.0,Adventure Action,217,en,75.674458,21-05-2008,786636033.0,122.0,Indiana Jones and the Kingdom of the Crystal Skull,5.7,2495,Steven Spielberg
175000000.0,Adventure Animation Family,105864,en,51.692953,14-11-2015,331926147.0,93.0,The Good Dinosaur,6.6,1736,Peter Sohn
185000000.0,Animation Adventure Comedy Family Action,62177,en,125.114374,21-06-2012,538983207.0,93.0,Brave,6.7,4641,Brenda Chapman
185000000.0,Action Adventure Science-Fiction,188927,en,65.352913,07-07-2016,343471816.0,122.0,Star Trek Beyond,6.6,2568,Justin Lin
180000000.0,Animation Family,10681,en,66.390712,22-06-2008,521311860.0,98.0,WALL·E,7.8,6296,Andrew Stanton
140000000.0,Action Comedy Crime Thriller,5174,en,22.57178,08-08-2007,258022233.0,91.0,Rush Hour 3,6.1,783,Brett Ratner
200000000.0,Action Adventure Science-Fiction,14161,en,45.274225,10-10-2009,769653595.0,158.0,2012,5.6,4903,Roland Emmerich
200000000.0,Animation Drama,17979,en,39.744242,04-11-2009,325233863.0,96.0,A Christmas Carol,6.6,1095,Robert Zemeckis
176000003.0,Science-Fiction Fantasy Action Adventure,76757,en,85.36908,04-02-2015,183987723.0,124.0,Jupiter Ascending,5.2,2768,Lilly Wachowski
180000000.0,Action Adventure,258489,en,42.741719,29-06-2016,356743061.0,109.0,The Legend of Tarzan,5.5,2430,David Yates
180000000.0,Adventure Family Fantasy,411,en,67.391328,07-12-2005,748806957.0,143.0,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",6.7,2629,Andrew Adamson
178000000.0,Science-Fiction,246655,en,139.272042,18-05-2016,543934787.0,144.0,X-Men: Apocalypse,6.4,4721,Bryan Singer
185000000.0,Drama Action Crime Thriller,155,en,187.322927,16-07-2008,1004558444.0,152.0,The Dark Knight,8.2,12002,Christopher Nolan
175000000.0,Animation Comedy Family Adventure,14160,en,92.201962,13-05-2009,735099082.0,96.0,Up,7.7,6870,Pete Docter
175000000.0,Animation Family Adventure Science-Fiction,15512,en,36.167578,19-03-2009,381509870.0,94.0,Monsters vs Aliens,6.0,1423,Conrad Vernon
140000000.0,Action Science-Fiction Adventure,1726,en,120.725053,30-04-2008,585174222.0,126.0,Iron Man,7.4,8776,Jon Favreau
170000000.0,Adventure Drama Family,44826,en,32.319043,22-11-2011,185770160.0,126.0,Hugo,7.0,2141,Martin Scorsese
170000000.0,Action Adventure Comedy Science-Fiction Western,8487,en,40.748915,29-06-1999,222104681.0,106.0,Wild Wild West,5.1,1020,Barry Sonnenfeld
145000000.0,Adventure Action Fantasy,1735,en,60.034162,01-07-2008,401128639.0,112.0,The Mummy: Tomb of the Dragon Emperor,5.2,1387,Rob Cohen
175000000.0,Action Adventure Crime Fantasy Science-Fiction,297761,en,90.23792,02-08-2016,745000000.0,123.0,Suicide Squad,5.9,7458,David Ayer
175000000.0,Fantasy Comedy Family,2698,en,27.082182,09-06-2007,173000000.0,96.0,Evan Almighty,5.3,1151,Tom Shadyac
178000000.0,Action Science-Fiction,137113,en,79.456485,27-05-2014,370541256.0,113.0,Edge of Tomorrow,7.6,4858,Doug Liman
175000000.0,Adventure Action,9804,en,44.640292,28-07-1995,264218220.0,135.0,Waterworld,5.9,992,Kevin Reynolds
175000000.0,Adventure Action Thriller Science-Fiction,14869,en,32.852443,04-08-2009,302469017.0,118.0,G.I. Joe: The Rise of Cobra,5.6,1962,Stephen Sommers
175000000.0,Drama Comedy Animation Family,150540,en,128.655964,09-06-2015,857611174.0,94.0,Inside Out,8.0,6560,Pete Docter
175000000.0,Family Adventure Drama Fantasy,278927,en,94.199316,07-04-2016,966550600.0,106.0,The Jungle Book,6.7,2892,Jon Favreau
200000000.0,Adventure Action Science-Fiction,10138,en,77.300194,28-04-2010,623933331.0,124.0,Iron Man 2,6.6,6849,Jon Favreau
170000000.0,Adventure Fantasy Drama,58595,en,77.178973,30-05-2012,396600000.0,127.0,Snow White and the Huntsman,5.8,3118,Rupert Sanders
180000000.0,Fantasy Adventure Action Family Romance,102651,en,110.620647,28-05-2014,758539785.0,97.0,Maleficent,7.0,4496,Robert Stromberg
170000000.0,Science-Fiction Action Drama Thriller,119450,en,243.791743,26-06-2014,710644566.0,130.0,Dawn of the Planet of the Apes,7.3,4410,Matt Reeves
27000000.0,Action Adventure Science-Fiction Romance,79698,en,2.418535,13-02-2015,0.0,109.0,The Lovers,4.8,34,Roland Joff\u00e9
175000000.0,Drama Action Adventure Fantasy,64686,en,41.796339,06-12-2013,150962475.0,119.0,47 Ronin,5.9,1326,Carl Rinsch
170000000.0,Action Adventure Science-Fiction,100402,en,72.225265,20-03-2014,714766572.0,136.0,Captain America: The Winter Soldier,7.6,5764,Anthony Russo
165000000.0,Comedy Adventure Fantasy Animation Family,10192,en,44.041186,16-05-2010,752600867.0,93.0,Shrek Forever After,6.0,1959,Mike Mitchell
190000000.0,Adventure Family Mystery Science-Fiction,158852,en,130.311355,19-05-2015,209154322.0,130.0,Tomorrowland,6.2,2846,Brad Bird
165000000.0,Adventure Family Animation Action Comedy,177572,en,203.73459,24-10-2014,652105443.0,102.0,Big Hero 6,7.8,6135,Chris Williams
165000000.0,Family Animation Comedy Adventure,82690,en,62.341073,01-11-2012,471222889.0,108.0,Wreck-It Ralph,7.1,4570,Rich Moore
165000000.0,Adventure Animation Family Fantasy,5255,en,47.323228,10-11-2004,305875730.0,100.0,The Polar Express,6.4,1474,Robert Zemeckis
165000000.0,Action Adventure Science-Fiction,47933,en,48.775723,22-06-2016,389681935.0,120.0,Independence Day: Resurgence,4.9,2491,Roland Emmerich
165000000.0,Fantasy Adventure Animation Family,10191,en,67.263269,05-03-2010,494878759.0,98.0,How to Train Your Dragon,7.5,4227,Chris Sanders
200000000.0,Action Thriller Science-Fiction,296,en,69.405188,02-07-2003,435000000.0,109.0,Terminator 3: Rise of the Machines,5.9,2143,Jonathan Mostow
170000000.0,Action Science-Fiction Adventure,118340,en,481.098624,30-07-2014,773328629.0,121.0,Guardians of the Galaxy,7.9,9742,James Gunn
165000000.0,Adventure Drama Science-Fiction,157336,en,724.247784,05-11-2014,675120017.0,169.0,Interstellar,8.1,10867,Christopher Nolan
160000000.0,Action Thriller Science-Fiction Mystery Adventure,27205,en,167.58371,14-07-2010,825532764.0,148.0,Inception,8.1,13752,Christopher Nolan
15000000.0,Action Adventure Drama Horror Science-Fiction,315011,ja,9.476999,29-07-2016,77000000.0,120.0,Shin Godzilla,6.5,143,Hideaki Anno
250000000.0,Adventure Fantasy Action,49051,en,108.849621,26-11-2012,1021103568.0,169.0,The Hobbit: An Unexpected Journey,7.0,8297,Peter Jackson
38000000.0,Action Crime Thriller,9799,en,6.909942,22-06-2001,207283925.0,106.0,The Fast and the Furious,6.6,3428,Rob Cohen
150000000.0,Fantasy Drama Thriller Mystery Romance,4922,en,60.269279,24-11-2008,333932083.0,166.0,The Curious Case of Benjamin Button,7.3,3292,David Fincher
160000000.0,Action Science-Fiction Adventure,49538,en,3.195174,24-05-2011,353624124.0,132.0,X-Men: First Class,7.1,5181,Matthew Vaughn
160000000.0,Action Adventure Science-Fiction,131634,en,127.284427,18-11-2015,653428261.0,137.0,The Hunger Games: Mockingjay - Part 2,6.6,3984,Francis Lawrence
150000000.0,Fantasy Adventure Action Comedy Drama,27022,en,35.580815,13-07-2010,215283742.0,109.0,The Sorcerer's Apprentice,5.8,1470,Jon Turteltaub
160000000.0,Adventure Action Drama Thriller,503,en,21.133748,12-05-2006,181674817.0,99.0,Poseidon,5.5,583,Wolfgang Petersen
170000000.0,Fantasy,241259,en,56.268916,25-05-2016,299370084.0,113.0,Alice Through the Looking Glass,6.5,1725,James Bobin
160000000.0,Fantasy Adventure Animation Comedy Family,810,en,42.986467,17-05-2007,798958165.0,93.0,Shrek the Third,6.0,2278,Chris Miller
160000000.0,Action Adventure Fantasy,68735,en,63.148529,25-05-2016,433677183.0,123.0,Warcraft,6.3,2268,Duncan Jones
155000000.0,Science-Fiction Action Thriller Adventure,87101,en,202.042635,23-06-2015,440603537.0,126.0,Terminator Genisys,5.8,3631,Alan Taylor
155000000.0,Adventure Family Fantasy,10140,en,49.661984,13-08-2010,415686217.0,113.0,The Chronicles of Narnia: The Voyage of the Dawn Treader,6.2,1514,Michael Apted
140000000.0,History Romance War,676,en,34.20669,21-05-2001,449220945.0,183.0,Pearl Harbor,6.6,1791,Michael Bay
150000000.0,Adventure Science-Fiction Action,1858,en,25.468493,27-06-2007,709709780.0,144.0,Transformers,6.6,4040,Michael Bay
155000000.0,War History Action Adventure Drama,1966,en,39.019229,21-11-2004,167298192.0,175.0,Alexander,5.6,927,Oliver Stone
150000000.0,Adventure Fantasy Family Mystery,675,en,78.144395,28-06-2007,938212738.0,138.0,Harry Potter and the Order of the Phoenix,7.4,5494,David Yates
150000000.0,Adventure Fantasy Family,674,en,101.250416,05-11-2005,895921036.0,157.0,Harry Potter and the Goblet of Fire,7.5,5608,Mike Newell
150000000.0,Fantasy Action,8960,en,56.758411,01-07-2008,624029371.0,92.0,Hancock,6.2,2961,Peter Berg
150000000.0,Drama Horror Action Thriller Science-Fiction,6479,en,70.867401,14-12-2007,585349010.0,101.0,I Am Legend,6.9,4853,Francis Lawrence
150000000.0,Adventure Comedy Family Fantasy,118,en,53.905592,13-07-2005,474968763.0,115.0,Charlie and the Chocolate Factory,6.7,3624,Tim Burton
150000000.0,Animation Comedy Family Fantasy,2062,en,65.677399,22-06-2007,623722818.0,111.0,Ratatouille,7.5,4369,Jan Pinkava
150000000.0,Action Crime Drama,272,en,115.040024,10-06-2005,374218673.0,140.0,Batman Begins,7.5,7359,Christopher Nolan
150000000.0,Family Animation,10527,en,44.141021,30-10-2008,603900354.0,89.0,Madagascar: Escape 2 Africa,6.2,1810,Eric Darnell
150000000.0,Adventure Fantasy Action Comedy Family,18360,en,81.781591,20-05-2009,413106170.0,105.0,Night at the Museum: Battle of the Smithsonian,5.9,1971,Shawn Levy
150000000.0,Adventure Action Thriller Science-Fiction,2080,en,5.954334,28-04-2009,373062864.0,107.0,X-Men Origins: Wolverine,6.2,4021,Gavin Hood
150000000.0,Adventure Action Thriller Science-Fiction,605,en,73.313918,05-11-2003,424988211.0,129.0,The Matrix Revolutions,6.4,3096,Lilly Wachowski
150000000.0,Animation Adventure Family,109445,en,165.125366,27-11-2013,1274219009.0,102.0,Frozen,7.3,5295,Chris Buck
150000000.0,Adventure Action Thriller Science-Fiction,604,en,70.78591,15-05-2003,738599701.0,138.0,The Matrix Reloaded,6.7,3443,Lilly Wachowski
170000000.0,Action Adventure Fantasy,76338,en,99.499595,29-10-2013,644571402.0,112.0,Thor: The Dark World,6.8,4755,Alan Taylor
150000000.0,Action Adventure Science-Fiction Thriller,76341,en,434.278564,13-05-2015,378858340.0,120.0,Mad Max: Fury Road,7.2,9427,George Miller
150000000.0,Thriller Mystery,13448,en,67.447636,13-05-2009,356613439.0,138.0,Angels & Demons,6.5,2129,Ron Howard
150000000.0,Adventure Fantasy Action,10195,en,86.493424,21-04-2011,449326618.0,115.0,Thor,6.6,6525,Kenneth Branagh
150000000.0,Animation Family Adventure Comedy,13053,en,41.845878,21-11-2008,309979994.0,98.0,Bolt,6.3,1750,Chris Williams
150000000.0,Fantasy Action Adventure Family Comedy,19585,en,26.710398,21-07-2009,292817841.0,88.0,G-Force,5.1,510,Hoyt Yeatman
150000000.0,Adventure,57165,en,44.927635,27-03-2012,301000000.0,99.0,Wrath of the Titans,5.5,1431,Jonathan Liebesman
150000000.0,Comedy Fantasy,62213,en,50.306728,08-05-2012,245527149.0,113.0,Dark Shadows,5.7,2320,Tim Burton
150000000.0,Action Adventure Thriller,177677,en,114.522237,23-07-2015,682330139.0,131.0,Mission: Impossible - Rogue Nation,7.1,3224,Christopher McQuarrie
150000000.0,Family Animation Adventure Comedy,5559,en,29.332905,28-10-2007,287594577.0,91.0,Bee Movie,5.7,1171,Steve Hickner
150000000.0,Animation Family,49444,en,51.247321,25-05-2011,665692281.0,91.0,Kung Fu Panda 2,6.7,1880,Jennifer Yuh Nelson
150000000.0,Action Adventure Family Fantasy,10196,en,33.769336,30-06-2010,318502923.0,103.0,The Last Airbender,4.7,1151,M. Night Shyamalan
150000000.0,Adventure Action Thriller,956,en,63.079003,03-05-2006,397850012.0,126.0,Mission: Impossible III,6.5,2028,J.J. Abrams
150000000.0,Action Drama Thriller,117251,en,39.004588,27-06-2013,205366737.0,131.0,White House Down,6.4,1891,Roland Emmerich
150000000.0,Adventure Animation Family,50321,en,12.362599,09-03-2011,38992758.0,88.0,Mars Needs Moms,5.5,199,Simon Wells
149000000.0,Adventure Animation Comedy Family,11619,en,22.550135,22-10-2006,64459316.0,85.0,Flushed Away,6.0,874,David Bowers
150000000.0,Adventure Family Fantasy,266647,en,48.03528,24-09-2015,128388320.0,111.0,Pan,5.9,954,Joe Wright
145000000.0,Animation Adventure Family,82703,en,38.73494,07-02-2014,272912430.0,92.0,Mr. Peabody & Sherman,6.7,843,Rob Minkoff
175000000.0,Adventure Drama War,652,en,66.803149,13-05-2004,497409852.0,163.0,Troy,6.9,2759,Wolfgang Petersen
145000000.0,Animation Family,80321,en,44.989192,06-06-2012,746921274.0,93.0,Madagascar 3: Europe's Most Wanted,6.4,1808,Conrad Vernon
140000000.0,Adventure Action Thriller,36669,en,54.159392,17-11-2002,431971116.0,133.0,Die Another Day,5.8,1092,Lee Tamahori
144000000.0,Action Fantasy Comedy,43074,en,66.21806,14-07-2016,229147509.0,116.0,Ghostbusters,5.3,2142,Paul Feig
140000000.0,Action Thriller Science-Fiction Adventure,95,en,58.485967,01-07-1998,553799566.0,151.0,Armageddon,6.4,2482,Michael Bay
140000000.0,Action Adventure Comedy Science-Fiction,608,en,91.332849,03-07-2002,441818803.0,88.0,Men in Black II,6.0,3114,Barry Sonnenfeld
70000000.0,Adventure Action Animation,2310,en,35.601665,05-11-2007,195735876.0,115.0,Beowulf,5.5,841,Robert Zemeckis
145000000.0,Action Adventure Animation Comedy Family,140300,en,56.747978,23-01-2016,521170825.0,95.0,Kung Fu Panda 3,6.7,1603,Jennifer Yuh Nelson
145000000.0,Action Thriller Adventure,56292,en,77.77477,07-12-2011,694713380.0,133.0,Mission: Impossible - Ghost Protocol,6.8,3972,Brad Bird
145000000.0,Fantasy Animation Family,81188,en,61.788035,21-11-2012,306941670.0,97.0,Rise of the Guardians,7.1,1922,Peter Ramsey
100000000.0,Comedy,7552,en,25.159168,21-12-2005,202026112.0,90.0,Fun with Dick and Jane,5.9,627,Dean Parisot
140000000.0,Drama Action War History,616,en,52.341226,05-12-2003,456758981.0,154.0,The Last Samurai,7.3,1895,Edward Zwick
140000000.0,Adventure Drama Action,147441,en,101.599427,03-12-2014,268031828.0,150.0,Exodus: Gods and Kings,5.6,1921,Ridley Scott
150000000.0,Science-Fiction Action Adventure,13475,en,73.616808,06-05-2009,385680446.0,127.0,Star Trek,7.4,4518,J.J. Abrams
139000000.0,Fantasy Action,557,en,82.502566,01-05-2002,821708551.0,121.0,Spider-Man,6.8,5265,Sam Raimi
145000000.0,Fantasy Action Adventure Animation Comedy,82702,en,100.21391,12-06-2014,609123048.0,102.0,How to Train Your Dragon 2,7.6,3106,Dean DeBlois
140000000.0,Fantasy,205584,en,56.257249,25-02-2016,150680864.0,127.0,Gods of Egypt,5.3,1277,Alex Proyas
135000000.0,Action,10048,en,17.88953,28-07-2005,76932943.0,121.0,Stealth,4.9,331,Rob Cohen
130000000.0,Action Mystery Science-Fiction,13183,en,64.798873,05-03-2009,185258983.0,163.0,Watchmen,7.0,2811,Zack Snyder
140000000.0,Action Adventure Comedy Crime Thriller,944,en,24.855701,10-07-1998,285444603.0,127.0,Lethal Weapon 4,6.3,767,Richard Donner
137000000.0,Drama Action Science-Fiction,1927,en,34.981698,19-06-2003,245360480.0,138.0,Hulk,5.3,1533,Ang Lee
130000000.0,Adventure Action Science-Fiction Thriller,72559,en,59.325589,26-03-2013,371876278.0,110.0,G.I. Joe: Retaliation,5.4,3025,Jon M. Chu
130000000.0,Action Adventure Comedy Drama Mystery,7364,en,21.605568,06-04-2005,119269486.0,124.0,Sahara,5.7,434,Breck Eisner
137000000.0,Adventure Action Animation Fantasy Science-Fiction,2114,en,26.074908,02-07-2001,85131830.0,106.0,Final Fantasy: The Spirits Within,5.9,433,Hironobu Sakaguchi
140000000.0,Action Adventure Science-Fiction,1771,en,74.506246,22-07-2011,370569774.0,124.0,Captain America: The First Avenger,6.6,7047,Joe Johnston
135000000.0,Adventure Action Thriller,36643,en,39.604363,08-11-1999,361832400.0,128.0,The World Is Not Enough,6.0,862,Michael Apted
150000000.0,Adventure,8619,en,36.973031,14-11-2003,212011111.0,138.0,Master and Commander: The Far Side of the World,6.9,790,Peter Weir
120000000.0,Adventure Fantasy Drama Romance,50620,en,99.687084,13-11-2012,829000000.0,115.0,The Twilight Saga: Breaking Dawn - Part 2,6.1,2553,Bill Condon
130000000.0,Animation Comedy Family,65759,en,17.7735,17-11-2011,150406466.0,100.0,Happy Feet Two,5.8,373,George Miller
150000000.0,Science-Fiction Action Adventure,1724,en,62.898336,12-06-2008,163712074.0,114.0,The Incredible Hulk,6.1,3021,Louis Leterrier
140000000.0,Adventure Family Fantasy,267935,en,44.19092,01-06-2016,183345589.0,120.0,The BFG,6.0,1000,Steven Spielberg
135000000.0,Western Drama Adventure Thriller,281957,en,100.635882,25-12-2015,532950503.0,156.0,The Revenant,7.3,6396,Alejandro Gonz\u00e1lez I\u00f1\u00e1rritu
135000000.0,Animation Family,77950,en,44.765377,11-07-2013,282570682.0,96.0,Turbo,6.1,1074,David Soren
135000000.0,Animation Comedy Family Western Adventure,44896,en,29.91353,02-03-2011,245724603.0,107.0,Rango,6.6,2051,Gore Verbinski
132000000.0,Family Animation Adventure Comedy,270946,en,84.366984,22-11-2014,373552094.0,92.0,Penguins of Madagascar,6.5,1346,Eric Darnell
70000000.0,Action Drama Mystery Thriller,2503,en,45.381501,03-08-2007,442824138.0,115.0,The Bourne Ultimatum,7.3,2888,Paul Greengrass
130000000.0,Adventure Animation Family Comedy,9502,en,84.689648,04-06-2008,631744560.0,90.0,Kung Fu Panda,6.9,3145,Mark Osborne
130000000.0,Science-Fiction Action Adventure,102899,en,120.09361,14-07-2015,519311965.0,117.0,Ant-Man,7.0,5880,Peyton Reed
130000000.0,Adventure Action Science-Fiction,101299,en,76.310119,15-11-2013,847423452.0,146.0,The Hunger Games: Catching Fire,7.4,6495,Francis Lawrence
135000000.0,Fantasy Comedy Animation Science-Fiction Family,228161,en,63.473086,18-03-2015,368871007.0,94.0,Home,6.8,1519,Tim Johnson
132000000.0,Adventure Thriller Science-Fiction,74,en,48.572726,28-06-2005,591739379.0,116.0,War of the Worlds,6.2,2322,Steven Spielberg
130000000.0,Adventure Action Comedy Thriller Crime,8961,en,38.068736,18-07-2003,273339556.0,147.0,Bad Boys II,6.3,1564,Michael Bay
130000000.0,Action Adventure Animation Family Fantasy,417859,en,20.678787,28-10-2011,554987477.0,90.0,Puss in Boots,6.4,451,Chris Miller
110000000.0,Action Mystery Thriller,27576,en,48.829437,21-07-2010,293329073.0,100.0,Salt,6.2,2093,Phillip Noyce
125000000.0,Drama Adventure,86834,en,46.115758,20-03-2014,362637473.0,139.0,Noah,5.6,2350,Darren Aronofsky
130000000.0,Adventure Animation Mystery,17578,en,89.938296,25-10-2011,371940071.0,107.0,The Adventures of Tintin,6.7,2061,Steven Spielberg
130000000.0,Adventure Fantasy Family,673,en,79.679601,31-05-2004,789804554.0,141.0,Harry Potter and the Prisoner of Azkaban,7.7,5877,Alfonso Cuar\u00f3n
130000000.0,Drama,6972,en,28.840997,18-11-2008,49554002.0,165.0,Australia,6.3,694,Baz Luhrmann
130000000.0,Science-Fiction Action Adventure,82700,en,42.840582,30-05-2013,243843127.0,100.0,After Earth,5.0,2532,M. Night Shyamalan
127500000.0,Animation Family,10567,en,26.548594,19-05-2000,354248063.0,82.0,Dinosaur,6.2,542,Ralph Zondag
127000000.0,Adventure Comedy Fantasy Family,181533,en,115.597753,17-12-2014,349424282.0,97.0,Night at the Museum: Secret of the Tomb,6.1,1851,Shawn Levy
