"Product_ID","Product_Weight","Energy_Efficiency","Visibility_Index","Product_Category","Product_Price","Store_ID","Store_Established_Year","Store_Size","Location_Type","Store_Type","Sales_Performance"
"FDA46",13.6,"Energy Efficient",0.117818348,"Speakers",192.9136,"OUT049",14,"Medium","Tier 1","Electronics Store Type1",2527.3768
"FDC02",21.35,"Energy Efficient",0.069102831,"Headphones",259.9278,"OUT018",4,"Medium","Tier 3","Electronics Store Type2",6768.5228
"FDL50",12.15,"Standard",0.042277867,"Headphones",126.5046,"OUT013",26,"High","Tier 3","Electronics Store Type1",373.5138
"FDM39",6.42,"Energy Efficient",0.089498926,"Laptops",178.1002,"OUT010",15,"Small","Tier 3","Retail Electronics Store",358.2004
"NCP05",19.6,"Energy Efficient",0.0661320287789511,"Washing Machines",153.3024,"OUT045",11,"Small","Tier 2","Electronics Store Type1",2428.8384
"FDV49",10,"Energy Efficient",0.025879577,"Headphones",265.2226,"OUT045",11,"Small","Tier 2","Electronics Store Type1",5815.0972
"FDL12",15.85,"Standard",0.121632721,"Microwaves",60.622,"OUT046",16,"Small","Tier 1","Electronics Store Type1",2576.646
"FDS02",12.857645184136,"Standard",0.255394896,"Laptops",196.8794,"OUT019",28,"Small","Tier 1","Retail Electronics Store",780.3176
"NCL17",7.39,"Energy Efficient",0.067779712,"Washing Machines",143.8812,"OUT046",16,"Small","Tier 1","Electronics Store Type1",3134.5864
"FDM40",10.195,"Energy Efficient",0.159803853,"Air Conditioners",141.5154,"OUT013",26,"High","Tier 3","Electronics Store Type1",850.8924
"FDR13",9.895,"Standard",0.028696932,"Headphones",117.0492,"OUT013",26,"High","Tier 3","Electronics Store Type1",810.9444
"FDA43",10.895,"Energy Efficient",0.065041581,"Monitors",196.3794,"OUT017",6,"Small","Tier 2","Electronics Store Type1",3121.2704
"NCP18",12.15,"Energy Efficient",0.028760013,"Refrigerators",151.4708,"OUT017",6,"Small","Tier 2","Electronics Store Type1",4815.0656
"FDK21",7.905,"Energy Efficient",0.010053105,"Speakers",249.0408,"OUT018",4,"Medium","Tier 3","Electronics Store Type2",6258.52
"NCX54",9.195,"Energy Efficient",0.048157338,"Refrigerators",106.1622,"OUT045",11,"Small","Tier 2","Electronics Store Type1",2117.244
"DRK35",8.365,"Energy Efficient",0.071958197,"Cameras",38.0506,"OUT049",14,"Medium","Tier 1","Electronics Store Type1",796.9626
"FDY21",15.1,"Energy Efficient",0.173481304,"Speakers",194.511,"OUT046",16,"Small","Tier 1","Electronics Store Type1",4910.275
"FDI26",12.857645184136,"Energy Efficient",0.061082177,"Headphones",180.0344,"OUT019",28,"Small","Tier 1","Retail Electronics Store",892.172
"FDM20",10,"Energy Efficient",0.0661320287789511,"Monitors",246.9144,"OUT018",4,"Medium","Tier 3","Electronics Store Type2",3185.1872
"FDV27",7.97,"Standard",0.040071131,"Tablets",87.3514,"OUT045",11,"Small","Tier 2","Electronics Store Type1",1062.6168
"FDF09",12.857645184136,"Energy Efficient",0.012090074,"Monitors",38.2848,"OUT027",28,"Medium","Tier 3","Specialty Electronics Store",484.7024
"FDY40",12.857645184136,"Standard",0.15028599,"Air Conditioners",51.0692,"OUT019",28,"Small","Tier 1","Retail Electronics Store",147.8076
"FDY45",12.857645184136,"Energy Efficient",0.026015519,"Speakers",255.8356,"OUT027",28,"Medium","Tier 3","Specialty Electronics Store",2543.356
"FDC46",17.7,"Energy Efficient",0.195068226,"Speakers",185.4266,"OUT010",15,"Small","Tier 3","Retail Electronics Store",184.4266
"FDH19",19.35,"Energy Efficient",0.033082215,"Tablets",172.5738,"OUT035",9,"Small","Tier 2","Electronics Store Type1",4865.6664
"FDZ03",13.65,"Standard",0.078946455,"Laptops",186.024,"OUT045",11,"Small","Tier 2","Electronics Store Type1",1118.544
"DRH37",17.6,"Energy Efficient",0.041700756,"Smartphones",164.8526,"OUT045",11,"Small","Tier 2","Electronics Store Type1",2302.3364
"NCI17",8.645,"Energy Efficient",0.143422643,"Washing Machines",95.841,"OUT046",16,"Small","Tier 1","Electronics Store Type1",2027.361
"FDJ58",15.6,"Standard",0.105296072,"Speakers",170.1764,"OUT046",16,"Small","Tier 1","Electronics Store Type1",3435.528
"FDL12",15.85,"Standard",0.121531501,"Microwaves",59.222,"OUT013",26,"High","Tier 3","Electronics Store Type1",599.22
"FDH35",18.25,"Energy Efficient",0.0661320287789511,"Mouse",164.7526,"OUT045",11,"Small","Tier 2","Electronics Store Type1",4604.6728
"FDG02",7.855,"Energy Efficient",0.011324862,"Headphones",189.6188,"OUT017",6,"Small","Tier 2","Electronics Store Type1",2285.0256
"NCZ18",7.825,"Energy Efficient",0.186357148,"Refrigerators",254.3698,"OUT049",14,"Medium","Tier 1","Electronics Store Type1",5580.7356
"FDC29",8.39,"Standard",0.024205661,"Air Conditioners",114.0176,"OUT046",16,"Small","Tier 1","Electronics Store Type1",2290.352
"FDQ10",12.85,"Energy Efficient",0.033230816,"Speakers",172.3422,"OUT049",14,"Medium","Tier 1","Electronics Store Type1",1207.0954
"FDN48",12.857645184136,"Energy Efficient",0.113720344,"Microwaves",89.9804,"OUT019",28,"Small","Tier 1","Retail Electronics Store",643.1628
"FDL04",19,"Energy Efficient",0.112556507,"Air Conditioners",104.9622,"OUT017",6,"Small","Tier 2","Electronics Store Type1",1587.933
"FDV25",5.905,"Energy Efficient",0.0661320287789511,"Headphones",222.5456,"OUT045",11,"Small","Tier 2","Electronics Store Type1",5305.0944
"FDD58",7.76,"Energy Efficient",0.059352241,"Speakers",101.87,"OUT046",16,"Small","Tier 1","Electronics Store Type1",1697.79
"FDN04",11.8,"Standard",0.014087057,"Air Conditioners",180.3344,"OUT046",16,"Small","Tier 1","Electronics Store Type1",1427.4752
"FDV45",16.75,"Energy Efficient",0.045230944,"Speakers",187.9556,"OUT018",4,"Medium","Tier 3","Electronics Store Type2",4693.89
"NCL18",12.857645184136,"Energy Efficient",0.293417759,"Refrigerators",194.6136,"OUT019",28,"Small","Tier 1","Retail Electronics Store",583.2408
"FDR12",12.857645184136,"Standard",0.031382044,"Microwaves",171.3764,"OUT027",28,"Medium","Tier 3","Specialty Electronics Store",3091.9752
"FDG20",15.5,"Standard",0.12639886,"Monitors",177.0028,"OUT017",6,"Small","Tier 2","Electronics Store Type1",2479.4392
"FDZ55",6.055,"Energy Efficient",0.025403898,"Monitors",160.992,"OUT035",9,"Small","Tier 2","Electronics Store Type1",2716.464
"FDQ49",12.857645184136,"Standard",0.039057677,"Printers",155.963,"OUT027",28,"Medium","Tier 3","Specialty Electronics Store",3285.723
"FDN33",6.305,"Standard",0.123115764,"Speakers",95.6436,"OUT046",16,"Small","Tier 1","Electronics Store Type1",661.8052
"FDN27",20.85,"Energy Efficient",0.039624006,"Tablets",117.2808,"OUT049",14,"Medium","Tier 1","Electronics Store Type1",1523.3504
"FDW20",20.75,"Energy Efficient",0.040421193,"Monitors",122.173,"OUT010",15,"Small","Tier 3","Retail Electronics Store",369.519
"DRG27",8.895,"Energy Efficient",0.105274111,"Laptops",39.9138,"OUT049",14,"Medium","Tier 1","Electronics Store Type1",690.4346
"DRI25",19.6,"Energy Efficient",0.033970195,"Smartphones",55.1614,"OUT045",11,"Small","Tier 2","Electronics Store Type1",1381.535
"FDA44",19.7,"Energy Efficient",0.053212652,"Monitors",57.893,"OUT035",9,"Small","Tier 2","Electronics Store Type1",622.523
"NCR17",9.8,"Energy Efficient",0.024378706,"Washing Machines",114.5492,"OUT035",9,"Small","Tier 2","Electronics Store Type1",1274.3412
"FDU04",12.857645184136,"Energy Efficient",0.009714595,"Air Conditioners",120.0414,"OUT019",28,"Small","Tier 1","Retail Electronics Store",487.3656
"FDF41",12.15,"Energy Efficient",0.131383762,"Air Conditioners",246.046,"OUT049",14,"Medium","Tier 1","Electronics Store Type1",1231.73
"FDB56",8.75,"Standard",0.07461309,"Monitors",187.4556,"OUT035",9,"Small","Tier 2","Electronics Store Type1",3755.112
"NCP18",12.857645184136,"Energy Efficient",0.028459761,"Refrigerators",149.9708,"OUT027",28,"Medium","Tier 3","Specialty Electronics Store",4363.6532
"FDB56",8.75,"Standard",0.074627201,"Monitors",187.8556,"OUT046",16,"Small","Tier 1","Electronics Store Type1",1314.2892
"FDT28",13.3,"Energy Efficient",0.063695084,"Air Conditioners",151.0708,"OUT045",11,"Small","Tier 2","Electronics Store Type1",1805.6496
"FDD10",12.857645184136,"Standard",0.045797829,"Speakers",178.5344,"OUT027",28,"Medium","Tier 3","Specialty Electronics Store",2854.9504
"FDW57",8.31,"Standard",0.115857223,"Speakers",179.1028,"OUT049",14,"Medium","Tier 1","Electronics Store Type1",3896.2616
"DRB48",16.75,"Standard",0.024832806,"Smartphones",38.7822,"OUT013",26,"High","Tier 3","Electronics Store Type1",667.7974
"FDP09",19.75,"Energy Efficient",0.034027909,"Speakers",212.0902,"OUT018",4,"Medium","Tier 3","Electronics Store Type2",3185.853
"FDH14",17.1,"Standard",0.0467696,"Headphones",141.1838,"OUT013",26,"High","Tier 3","Electronics Store Type1",2247.7408
"FDA47",10.5,"Standard",0.116576702,"Microwaves",163.121,"OUT013",26,"High","Tier 3","Electronics Store Type1",1794.331
"FDG12",6.635,"Standard",0.0661320287789511,"Microwaves",121.3098,"OUT045",11,"Small","Tier 2","Electronics Store Type1",2530.7058
"DRE60",12.857645184136,"Energy Efficient",0.278974075,"Smartphones",225.372,"OUT019",28,"Small","Tier 1","Retail Electronics Store",679.116
"DRK49",14.15,"Energy Efficient",0.035913805,"Smartphones",41.4138,"OUT013",26,"High","Tier 3","Electronics Store Type1",812.276
"FDD03",13.3,"Energy Efficient",0.079806266,"Laptops",232.53,"OUT046",16,"Small","Tier 1","Electronics Store Type1",699.09
"FDS52",8.89,"Energy Efficient",0.005505481,"Air Conditioners",102.4016,"OUT017",6,"Small","Tier 2","Electronics Store Type1",2732.4432
"FDW39",12.857645184136,"Standard",0.064625342,"Tablets",176.937,"OUT019",28,"Small","Tier 1","Retail Electronics Store",176.437
"FDX34",12.857645184136,"Energy Efficient",0.071636937,"Speakers",121.7098,"OUT027",28,"Medium","Tier 3","Specialty Electronics Store",4097.3332
"FDV11",9.1,"Standard",0.0661320287789511,"Keyboards",173.2054,"OUT045",11,"Small","Tier 2","Electronics Store Type1",3151.8972
"FDD17",7.5,"Energy Efficient",0.032677678,"Air Conditioners",239.0906,"OUT049",14,"Medium","Tier 1","Electronics Store Type1",5942.265
"FDZ16",16.85,"Standard",0.160760054,"Air Conditioners",192.4478,"OUT017",6,"Small","Tier 2","Electronics Store Type1",4843.695
"FDZ46",7.485,"Energy Efficient",0.06911065,"Speakers",109.0228,"OUT035",9,"Small","Tier 2","Electronics Store Type1",2542.0244
"DRA12",11.6,"Energy Efficient",0.041177505,"Smartphones",140.3154,"OUT017",6,"Small","Tier 2","Electronics Store Type1",2552.6772
"FDY58",11.65,"Energy Efficient",0.040081193,"Speakers",227.0694,"OUT018",4,"Medium","Tier 3","Electronics Store Type2",1141.847
"NCF19",13,"Energy Efficient",0.035307322,"Refrigerators",47.5034,"OUT017",6,"Small","Tier 2","Electronics Store Type1",680.4476
"DRJ13",12.65,"Energy Efficient",0.063017847,"Smartphones",159.0578,"OUT045",11,"Small","Tier 2","Electronics Store Type1",2085.9514
"FDB14",20.25,"Standard",0.171938781,"Headphones",92.512,"OUT010",15,"Small","Tier 3","Retail Electronics Store",186.424
"FDJ38",8.6,"Standard",0.040197932,"Headphones",190.153,"OUT035",9,"Small","Tier 2","Electronics Store Type1",3036.048
"FDW11",12.6,"Energy Efficient",0.049058014,"Keyboards",62.7194,"OUT017",6,"Small","Tier 2","Electronics Store Type1",866.8716
"FDL40",17.7,"Energy Efficient",0.01161096,"Air Conditioners",95.041,"OUT035",9,"Small","Tier 2","Electronics Store Type1",868.869
"DRI49",14.15,"Energy Efficient",0.183507295,"Smartphones",82.4276,"OUT046",16,"Small","Tier 1","Electronics Store Type1",1137.1864
"FDV38",19.25,"Energy Efficient",0.102349519,"Laptops",52.7956,"OUT017",6,"Small","Tier 2","Electronics Store Type1",928.1252
"DRG23",8.88,"Energy Efficient",0.086708987,"Cameras",151.7682,"OUT013",26,"High","Tier 3","Electronics Store Type1",762.341
"NCP30",20.5,"Energy Efficient",0.032835147,"Refrigerators",40.2822,"OUT045",11,"Small","Tier 2","Electronics Store Type1",707.0796
"FDY25",12.857645184136,"Energy Efficient",0.033809913,"Headphones",180.5976,"OUT027",28,"Medium","Tier 3","Specialty Electronics Store",7968.2944
"NCH54",13.5,"Energy Efficient",0.07266912,"Refrigerators",160.292,"OUT046",16,"Small","Tier 1","Electronics Store Type1",1438.128
"NCR53",12.857645184136,"Energy Efficient",0.144338493,"Washing Machines",224.4404,"OUT027",28,"Medium","Tier 3","Specialty Electronics Store",6976.2524
"FDS52",8.89,"Energy Efficient",0.009163216,"Air Conditioners",101.7016,"OUT010",15,"Small","Tier 3","Retail Electronics Store",101.2016
"FDG02",7.855,"Energy Efficient",0.011307038,"Headphones",188.5188,"OUT018",4,"Medium","Tier 3","Electronics Store Type2",952.094
"NCO26",7.235,"Energy Efficient",0.076855628,"Refrigerators",116.0492,"OUT046",16,"Small","Tier 1","Electronics Store Type1",1969.4364
"FDH35",12.857645184136,"Energy Efficient",0.059956876,"Mouse",165.4526,"OUT027",28,"Medium","Tier 3","Specialty Electronics Store",5262.4832
"FDB51",6.92,"Energy Efficient",0.038532062,"Laptops",60.5852,"OUT045",11,"Small","Tier 2","Electronics Store Type1",1314.2892
"FDX44",9.3,"Energy Efficient",0.043209581,"Monitors",90.8172,"OUT017",6,"Small","Tier 2","Electronics Store Type1",535.3032
"NCN07",18.5,"Energy Efficient",0.056816465,"Miscellaneous Electronics",132.1284,"OUT010",15,"Small","Tier 3","Retail Electronics Store",263.6568
"NCC31",8.02,"Energy Efficient",0.019866705,"Refrigerators",154.5972,"OUT035",9,"Small","Tier 2","Electronics Store Type1",1402.1748
"NCX54",9.195,"Energy Efficient",0.048331717,"Refrigerators",105.1622,"OUT017",6,"Small","Tier 2","Electronics Store Type1",1693.7952
"NCO55",12.8,"Energy Efficient",0.091221855,"Miscellaneous Electronics",105.5938,"OUT045",11,"Small","Tier 2","Electronics Store Type1",2143.876
"NCC30",16.6,"Energy Efficient",0.027622076,"Refrigerators",177.6344,"OUT049",14,"Medium","Tier 1","Electronics Store Type1",2676.516
"FDI16",14,"Standard",0.0661320287789511,"Air Conditioners",53.064,"OUT035",9,"Small","Tier 2","Electronics Store Type1",905.488
"FDP16",18.6,"Energy Efficient",0.039355947,"Air Conditioners",246.3802,"OUT049",14,"Medium","Tier 1","Electronics Store Type1",7370.406
"FDB11",16,"Energy Efficient",0.060836524,"Mouse",226.8404,"OUT035",9,"Small","Tier 2","Electronics Store Type1",6301.1312
"NCB06",17.6,"Energy Efficient",0.082316506,"Washing Machines",160.692,"OUT035",9,"Small","Tier 2","Electronics Store Type1",1597.92
"FDA45",21.25,"Energy Efficient",0.155350299,"Speakers",178.237,"OUT035",9,"Small","Tier 2","Electronics Store Type1",529.311
"NCO26",7.235,"Energy Efficient",0.076841095,"Refrigerators",117.5492,"OUT035",9,"Small","Tier 2","Electronics Store Type1",1969.4364
"DRJ25",14.6,"Energy Efficient",0.151419185,"Smartphones",50.3692,"OUT017",6,"Small","Tier 2","Electronics Store Type1",1034.6532
"FDR28",13.85,"Standard",0.026001976,"Air Conditioners",161.521,"OUT018",4,"Medium","Tier 3","Electronics Store Type2",1794.331
"FDI04",13.65,"Standard",0.073209447,"Air Conditioners",197.6426,"OUT018",4,"Medium","Tier 3","Electronics Store Type2",2768.3964
"DRK12",12.857645184136,"Energy Efficient",0.041683481,"Smartphones",31.29,"OUT027",28,"Medium","Tier 3","Specialty Electronics Store",898.83
"FDX20",7.365,"Energy Efficient",0.042560252,"Monitors",226.172,"OUT046",16,"Small","Tier 1","Electronics Store Type1",3169.208
"NCI18",18.35,"Energy Efficient",0.014081156,"Refrigerators",223.5746,"OUT018",4,"Medium","Tier 3","Electronics Store Type2",3589.9936
"FDB36",5.465,"Standard",0.0661320287789511,"Microwaves",132.5626,"OUT018",4,"Medium","Tier 3","Electronics Store Type2",262.3252
"FDN13",18.6,"Energy Efficient",0.152918384,"Printers",99.8358,"OUT017",6,"Small","Tier 2","Electronics Store Type1",1910.1802
"DRD24",13.85,"Energy Efficient",0.030969274,"Smartphones",140.9154,"OUT017",6,"Small","Tier 2","Electronics Store Type1",1701.7848
"FDQ28",14,"Standard",0.060376776,"Air Conditioners",154.5656,"OUT013",26,"High","Tier 3","Electronics Store Type1",2471.4496
"FDM22",14,"Standard",0.04192285,"Speakers",54.764,"OUT013",26,"High","Tier 3","Electronics Store Type1",1331.6
"FDR07",12.857645184136,"Energy Efficient",0.077367431,"Monitors",97.0094,"OUT027",28,"Medium","Tier 3","Specialty Electronics Store",1808.9786
"FDV25",5.905,"Energy Efficient",0.045838211,"Headphones",222.5456,"OUT018",4,"Medium","Tier 3","Electronics Store Type2",3315.684
"DRF49",7.27,"Energy Efficient",0.071077939,"Smartphones",114.2518,"OUT046",16,"Small","Tier 1","Electronics Store Type1",2618.5914
"FDW51",6.155,"Standard",0.094659871,"Tablets",214.556,"OUT046",16,"Small","Tier 1","Electronics Store Type1",2769.728
"DRL01",19.5,"Standard",0.077608838,"Smartphones",233.4958,"OUT017",6,"Small","Tier 2","Electronics Store Type1",5375.0034
"FDP25",15.2,"Energy Efficient",0.021327477,"Headphones",216.8824,"OUT017",6,"Small","Tier 2","Electronics Store Type1",2838.9712
"FDL50",12.15,"Standard",0.042485444,"Headphones",125.0046,"OUT018",4,"Medium","Tier 3","Electronics Store Type2",1743.0644
"NCB30",12.857645184136,"Energy Efficient",0.025578526,"Refrigerators",198.8084,"OUT027",28,"Medium","Tier 3","Specialty Electronics Store",5555.4352
"FDW11",12.6,"Energy Efficient",0.0489808,"Keyboards",61.9194,"OUT018",4,"Medium","Tier 3","Electronics Store Type2",619.194
"NCM43",14.5,"Energy Efficient",0.019471688,"Miscellaneous Electronics",164.821,"OUT035",9,"Small","Tier 2","Electronics Store Type1",2120.573
"FDK44",16.6,"Energy Efficient",0.122918852,"Monitors",173.0738,"OUT017",6,"Small","Tier 2","Electronics Store Type1",3823.0236
"FDM15",11.8,"Standard",0.057373797,"Tablets",151.4366,"OUT013",26,"High","Tier 3","Electronics Store Type1",1360.2294
"FDS31",13.1,"Standard",0.044155597,"Monitors",178.8318,"OUT013",26,"High","Tier 3","Electronics Store Type1",3969.4996
"FDI32",17.7,"Energy Efficient",0.291865402,"Monitors",115.1834,"OUT010",15,"Small","Tier 3","Retail Electronics Store",345.5502
"FDR47",17.85,"Energy Efficient",0.0661320287789511,"Keyboards",196.5794,"OUT010",15,"Small","Tier 3","Retail Electronics Store",585.2382
"FDB35",12.3,"Standard",0.064750025,"Mouse",92.6804,"OUT045",11,"Small","Tier 2","Electronics Store Type1",1010.6844
"NCU05",11.8,"Energy Efficient",0.098312421,"Washing Machines",81.4618,"OUT010",15,"Small","Tier 3","Retail Electronics Store",161.1236
"DRY23",12.857645184136,"Standard",0.191013663,"Smartphones",42.1112,"OUT019",28,"Small","Tier 1","Retail Electronics Store",42.6112
"FDO24",11.1,"Energy Efficient",0.176573035,"Microwaves",157.4604,"OUT045",11,"Small","Tier 2","Electronics Store Type1",3010.7476
"FDQ28",12.857645184136,"Standard",0.060134441,"Air Conditioners",153.0656,"OUT027",28,"Medium","Tier 3","Specialty Electronics Store",6024.1584
"FDV39",11.3,"Energy Efficient",0.007294652,"Tablets",198.1426,"OUT045",11,"Small","Tier 2","Electronics Store Type1",988.713
"NCO17",12.857645184136,"Energy Efficient",0.128478462,"Washing Machines",117.944,"OUT019",28,"Small","Tier 1","Retail Electronics Store",239.688
"FDU50",5.75,"Standard",0.075107656,"Laptops",112.8176,"OUT013",26,"High","Tier 3","Electronics Store Type1",1374.2112
"FDT12",12.857645184136,"Standard",0.049381406,"Microwaves",226.8062,"OUT027",28,"Medium","Tier 3","Specialty Electronics Store",4739.8302
"FDK58",11.35,"Standard",0.045165796,"Speakers",100.0016,"OUT018",4,"Medium","Tier 3","Electronics Store Type2",1012.016
"FDO08",12.857645184136,"Standard",0.09415375,"Monitors",165.7526,"OUT019",28,"Small","Tier 1","Retail Electronics Store",657.8104
"NCW29",14,"Energy Efficient",0.028907832,"Washing Machines",130.431,"OUT049",14,"Medium","Tier 1","Electronics Store Type1",778.986
"FDE04",19.75,"Standard",0.018059621,"Air Conditioners",179.766,"OUT045",11,"Small","Tier 2","Electronics Store Type1",2336.958
"NCB19",6.525,"Energy Efficient",0.090436094,"Refrigerators",85.0882,"OUT049",14,"Medium","Tier 1","Electronics Store Type1",2233.0932
"FDV15",10.3,"Energy Efficient",0.146399712,"Tablets",103.9648,"OUT049",14,"Medium","Tier 1","Electronics Store Type1",1661.8368
"FDL58",5.78,"Standard",0.074264356,"Speakers",264.7568,"OUT049",14,"Medium","Tier 1","Electronics Store Type1",4745.8224
"FDA08",11.85,"Standard",0.050186726,"Monitors",164.1526,"OUT045",11,"Small","Tier 2","Electronics Store Type1",3124.5994
"FDT43",16.35,"Energy Efficient",0.020631654,"Monitors",50.1324,"OUT018",4,"Medium","Tier 3","Electronics Store Type2",467.3916
"NCX06",12.857645184136,"Energy Efficient",0.01561108,"Refrigerators",182.5976,"OUT027",28,"Medium","Tier 3","Specialty Electronics Store",5070.7328
"FDT20",10.5,"Energy Efficient",0.041395445,"Monitors",37.6164,"OUT046",16,"Small","Tier 1","Electronics Store Type1",540.6296
"FDB41",19,"Standard",0.097313129,"Air Conditioners",48.0718,"OUT046",16,"Small","Tier 1","Electronics Store Type1",992.7078
"NCN55",14.6,"Energy Efficient",0.059582996,"Miscellaneous Electronics",238.8538,"OUT049",14,"Medium","Tier 1","Electronics Store Type1",6008.845
